Tabla;CAS;Nombre en Tabla;Tmin;Tmax;Términos Ajuste;COLAPSAR;QUITAR DIPPR;QUITAR DETHERM;QUITAR OTROS;;Articulo1
1;108-87-2;ALKYLCYCLOHEXANES;;;1;;2;;;;CYCLO-XXX
1;108-87-2;ALKYLCYCLOHEXANES;;;1;;2;;2,12,17,19,25;;CYCLO-XXX
#1;13990-93-7;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;13990-93-7;ALKYLCYCLOHEXANES;;;2;;;;;;CYCLO-XXX
1;1678-91-7;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
#1;1678-92-8;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;1678-92-8;ALKYLCYCLOHEXANES;;;2;;;;3;;CYCLO-XXX
#1;1678-92-8;ALKYLCYCLOHEXANES;;;3;;;;3;;CYCLO-XXX
#1;1678-93-9;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;1678-93-9;ALKYLCYCLOHEXANES;;;2;;;;4;;CYCLO-XXX
#1;1678-98-4;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;1678-98-4;ALKYLCYCLOHEXANES;;;2;;;;3,4;;CYCLO-XXX
#1;1795-15-9;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;1795-15-9;ALKYLCYCLOHEXANES;;;1;;;;1,3;;CYCLO-XXX
#1;1795-16-0;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;1795-16-0;ALKYLCYCLOHEXANES;;;1;;;;2;;CYCLO-XXX
#1;1795-26-2;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;1795-26-2;ALKYLCYCLOHEXANES;;;2;;;;;;CYCLO-XXX
#1;2207-01-4;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
#1;2207-01-4;ALKYLCYCLOHEXANES;;;1;;;;3;;CYCLO-XXX
1;2207-01-4;ALKYLCYCLOHEXANES;;;2;;;;3;;CYCLO-XXX
#1;2207-03-6;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;2207-03-6;ALKYLCYCLOHEXANES;;;2;;;;;;CYCLO-XXX
#1;2207-04-7;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;2207-04-7;ALKYLCYCLOHEXANES;;;2;;;;;;CYCLO-XXX
1;3073-66-3;ALKYLCYCLOHEXANES;;;1;;;;2;;CYCLO-XXX
#;3073-66-3;ALKYLCYCLOHEXANES;;;2;;;;2;;CYCLO-XXX
#1;3073-66-3;ALKYLCYCLOHEXANES;;;3;;;;2;;CYCLO-XXX
#1;3178-22-1;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
#1;3178-22-1;ALKYLCYCLOHEXANES;;;1;;;;2,4;;CYCLO-XXX
1;3178-22-1;ALKYLCYCLOHEXANES;;;2;;;;2,4;;CYCLO-XXX
1;3726-45-2;ALKYLCYCLOHEXANES;;;2;;;;1,2;;CYCLO-XXX
#1;4292-75-5;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;4292-75-5;ALKYLCYCLOHEXANES;;;1;;;;1,3;;CYCLO-XXX
#1;4292-92-6;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;4292-92-6;ALKYLCYCLOHEXANES;;;1;;;;1,3;;CYCLO-XXX
1;590-66-9;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
#1;590-66-9;ALKYLCYCLOHEXANES;;;2;;;;;;CYCLO-XXX
1;624-29-3;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
#1;638-04-0;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;638-04-0;ALKYLCYCLOHEXANES;;;2;;;;5,6;;CYCLO-XXX
#1;6876-23-9;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;6876-23-9;ALKYLCYCLOHEXANES;;;1;;;;3;;CYCLO-XXX
#1;696-29-7;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;696-29-7;ALKYLCYCLOHEXANES;;;2;;;;7;;CYCLO-XXX
#1;7058-01-7;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;7058-01-7;ALKYLCYCLOHEXANES;;;2;;;;2;;CYCLO-XXX
#1;78-01-3;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
1;78-01-3;ALKYLCYCLOHEXANES;;;2;;;;1;;CYCLO-XXX
#1;99-82-1;ALKYLCYCLOHEXANES;;;1;;;;;;CYCLO-XXX
